Origin_Code,Destination_Code,Flow
5,10,111.41
5,12,25.28
5,13,4.0
5,14,1.0
5,15,281.34000000000003
5,16,8.0
5,17,5.0
5,18,56.27
5,19,4.0
5,21,1.0
5,22,3.0
5,23,0.0
5,24,4.0
5,27,3.0
5,28,0.0
5,29,1.0
5,33,7.0
5,34,0.0
5,36,0.0
5,37,6.0
5,38,1.0
5,46,4.32
5,47,1.0
5,51,1.0
5,52,1.0
5,96,21.78
5,97,3.0
5,98,2.0
5,100,1.0
5,103,5.0
5,108,5.0
6,0,13.0
6,1,1987.2899999999993
6,2,1345.7499999999998
6,3,318.27
6,4,229.67
6,5,2704.37
6,6,182170.8700000001
6,7,7.71
6,8,12.99
6,9,413.42
6,10,5027.5999999999985
6,11,14.89
6,12,83.63999999999997
6,13,30.950000000000006
6,14,5.77
6,15,2268.84
6,16,19.02
6,17,31.01
6,18,3975.83
6,19,17.84
6,20,16.900000000000002
6,21,4.0
6,23,3.0
6,24,15.41
6,25,5.97
6,26,0.0
6,27,2.0
6,28,10.82
6,29,1.0
6,33,72.82
6,34,16.68
6,35,10.02
6,36,3.79
6,37,11.1
6,38,9.0
6,40,2.76
6,41,1.0
6,45,2.0
6,46,2.0
6,47,2.0
6,48,4.24
6,49,1.0
6,50,3.54
6,51,3.0
6,58,0.0
6,93,1.0
6,96,65.17
6,97,6.88
6,98,24.15
6,99,5.0
6,103,12.45
6,108,54.36
7,0,21.0
7,1,1035.86
7,2,18.21
7,3,8.1
7,4,5.0
7,5,4.0
7,6,45.18
7,7,65458.94
7,8,1.0
7,10,2.01
7,11,1.0
7,12,6.0
7,15,50.44
7,16,1.0
7,18,3.0
7,22,2.0
7,23,1.0
7,29,1.0
7,37,6.0
7,50,2.0
7,96,45.18
7,108,4.0
8,0,4059.02
8,1,51.36
8,3,4.0
8,4,76.9
8,5,2.0
8,6,8.76
8,8,89560.94999999998
8,9,1393.0100000000002
8,10,304.06000000000006
8,11,2.0
8,12,7.75
8,15,15.37
8,16,7.37
8,17,2.0
8,18,3.24
8,19,1.0
8,20,4.16
8,34,0.0
8,35,1.0
8,36,2.31
8,46,1.0
8,48,0.0
8,49,2.31
8,50,4.49
8,52,0.0
8,96,1.0
8,108,2.0
9,0,15.0
9,1,196.38
9,2,5.0
9,3,13.0
9,4,819.31
9,5,36.18
9,6,291.51
9,8,1323.7800000000002
9,9,118642.84000000005
9,10,5762.339999999997
9,11,16.87
9,12,8.0
9,13,3.0
9,14,14.0
9,15,128.97000000000003
9,16,9.73
9,17,1.0
9,18,30.61
9,19,1.0
9,22,9.0
9,23,12.0
9,24,1.0
9,28,1.0
9,33,5.45
9,34,2.0
9,35,7.18
9,36,7.02
9,37,4.0
